Embedding,Tokenizer,Val F1,Test F1,Val Acc,Test Acc
ELMo,BPE_WP,0.7972,0.7921,0.9818,0.9822
ELMo,NLTK,0.7896,0.7878,0.9781,0.979
BERT,BPE_WP,0.8072,0.7865,0.9804,0.9799
BERT,NLTK,0.805,0.786,0.9806,0.9804
ELMo,Whitespace,0.7868,0.7836,0.9782,0.9789
BERT,Whitespace,0.7969,0.7805,0.98,0.9789
GloVe,BPE_WP,0.783,0.7708,0.9812,0.9813
GloVe,NLTK,0.7534,0.7349,0.9753,0.9753
GloVe,Whitespace,0.7521,0.7317,0.9762,0.9759
FastText,BPE_WP,0.7296,0.716,0.9769,0.9765
Word2Vec,BPE_WP,0.7179,0.7051,0.9764,0.9762
Word2Vec,NLTK,0.7144,0.6992,0.9734,0.9729
Word2Vec,Whitespace,0.7083,0.6969,0.9729,0.9728
FastText,Whitespace,0.711,0.6904,0.9717,0.9702
FastText,NLTK,0.7047,0.6873,0.9697,0.9697
